Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39,Scenario_40
Solar Capacity,MWdc,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2,198.2
BESS Capacity,MW,0,15,15,15,15,30,30,30,30,45,45,45,45,60,60,60,60,75,75,75,75,90,90,90,90,105,105,105,105,120,120,120,120,135,135,135,135,150,150,150,150
BESS Duration,h,0,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12
CAPEX,$/kWdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv_module,$/kWdc,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000,336.0000
  cells,$/kWdc,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531,132.6531
  frame,$/kWdc,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032,19.3032
  sheets,$/kWdc,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786,37.3786
  other_material,$/kWdc,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225,11.9225
  labor,$/kWdc,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540,2.0540
  electricity,$/kWdc,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864,1.6864
  depreciation,$/kWdc,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100,5.3100
  maintenance,$/kWdc,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000,1.8000
  shipping,$/kWdc,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951,33.4951
  profit,$/kWdc,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970,90.3970
three_phase_inverter,$/kWdc,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068,37.6068
  pcb_assemblies,$/kWdc,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658,11.9658
  electrical_parts,$/kWdc,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735,4.2735
  climate_control,$/kWdc,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641,2.5641
  enclosure,$/kWdc,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188,3.4188
  labor,$/kWdc,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573,6.4573
  electricity,$/kWdc,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197,0.7197
  shipping,$/kWdc,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987,1.1987
  depreciation,$/kWdc,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085,1.0085
  maintenance,$/kWdc,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419,0.3419
  profit,$/kWdc,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585,5.6585
sbos,$/kWdc,139.7238,140.3292,140.9347,142.1456,143.3565,140.9347,142.1456,144.5674,146.9892,141.5401,143.3565,146.9892,150.6218,142.1456,144.5674,149.4110,154.2545,142.7510,145.7783,151.8327,157.8872,143.3565,146.9892,154.2545,161.5199,143.9619,148.2001,156.6763,165.1526,144.5674,149.4110,159.0981,168.7853,145.1728,150.6218,161.5199,172.4180,145.7783,151.8327,163.9417,176.0507
  torque_tubes,$/kWdc,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767,52.7767
  driven_piers,$/kWdc,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577,27.2577
  module_rails,$/kWdc,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658,9.6658
  fasteners,$/kWdc,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971,2.0971
  slew_drive,$/kWdc,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924,9.2924
  dampers,$/kWdc,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806,2.1806
  motor,$/kWdc,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288,13.6288
  control_electronics,$/kWdc,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072,3.4072
  shipping,$/kWdc,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175,19.4175
  ess_pad,$/kWdc,0.0000,0.6054,1.2109,2.4218,3.6327,1.2109,2.4218,4.8436,7.2654,1.8163,3.6327,7.2654,10.8981,2.4218,4.8436,9.6872,14.5308,3.0272,6.0545,12.1090,18.1635,3.6327,7.2654,14.5308,21.7962,4.2381,8.4763,16.9526,25.4289,4.8436,9.6872,19.3744,29.0616,5.4490,10.8981,21.7962,32.6942,6.0545,12.1090,24.2180,36.3269
ebos,$/kWdc,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767,229.4767
  transformers,$/kWdc,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880,34.1880
  switches,$/kWdc,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444,6.9444
  breakers,$/kWdc,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256,16.0256
  conductors,$/kWdc,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487,17.9487
  combiner_boxes,$/kWdc,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564,10.2564
  grounding,$/kWdc,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197,8.1197
  substation,$/kWdc,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564,35.2564
