Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39,Scenario_40
  transmission,$/kWdc,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595,17.9595
  network_upgrade,$/kWdc,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265,80.7265
  shipping,$/kWdc,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513,2.0513
fieldwork,$/kWdc,228.5874,242.3693,256.1512,283.7150,311.2789,256.1512,283.7150,338.8427,393.9703,269.9331,311.2789,393.9703,476.6618,283.7150,338.8427,449.0980,559.3533,297.4969,366.4065,504.2256,642.0447,311.2789,393.9703,559.3533,724.7362,325.0608,421.5341,614.4809,807.4277,338.8427,449.0980,669.6086,890.1192,352.6246,476.6618,724.7362,972.8106,366.4065,504.2256,779.8639,1055.5021
  ebos_labor,$/kWdc,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748,61.6748
  sbos_labor,$/kWdc,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670
  site_prep,$/kWdc,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350
  equipment_rental,$/kWdc,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437
  inspection,$/kWdc,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670
  ess_labor,$/kWdc,0.0000,13.7819,27.5638,55.1276,82.6915,27.5638,55.1276,110.2553,165.3829,41.3457,82.6915,165.3829,248.0744,55.1276,110.2553,220.5106,330.7659,68.9096,137.8191,275.6382,413.4574,82.6915,165.3829,330.7659,496.1488,96.4734,192.9468,385.8935,578.8403,110.2553,220.5106,441.0212,661.5318,124.0372,248.0744,496.1488,744.2233,137.8191,275.6382,551.2765,826.9147
officework,$/kWdc,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102
  warehousing,$/kWdc,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398
  logistics,$/kWdc,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825
  engineering,$/kWdc,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154
  permits,$/kWdc,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091
  outreach,$/kWdc,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635,5.8635
other,$/kWdc,92.3474,96.5893,100.8312,109.3150,117.7988,100.8312,109.3150,126.2826,143.2502,105.0731,117.7988,143.2502,168.7016,109.3150,126.2826,160.2178,194.1530,113.5569,134.7664,177.1854,219.6044,117.7988,143.2502,194.1530,245.0557,122.0407,151.7340,211.1206,270.5071,126.2826,160.2178,228.0882,295.9585,130.5245,168.7016,245.0557,321.4099,134.7664,177.1854,262.0233,346.8613
  contingency,$/kWdc,25.1001,26.3226,27.5450,29.9899,32.4348,27.5450,29.9899,34.8797,39.7695,28.7675,32.4348,39.7695,47.1042,29.9899,34.8797,44.6593,54.4389,31.2124,37.3246,49.5491,61.7736,32.4348,39.7695,54.4389,69.1083,33.6573,42.2144,59.3287,76.4430,34.8797,44.6593,64.2185,83.7777,36.1022,47.1042,69.1083,91.1124,37.3246,49.5491,73.9981,98.4471
  management,$/kWdc,15.0400,15.5290,16.0180,16.9960,17.9739,16.0180,16.9960,18.9519,20.9078,16.5070,17.9739,20.9078,23.8417,16.9960,18.9519,22.8637,26.7756,17.4849,19.9298,24.8196,29.7094,17.9739,20.9078,26.7756,32.6433,18.4629,21.8858,28.7315,35.5772,18.9519,22.8637,30.6874,38.5111,19.4409,23.8417,32.6433,41.4449,19.9298,24.8196,34.5992,44.3788
  developer_profit,$/kWdc,52.2073,54.7377,57.2682,62.3291,67.3901,57.2682,62.3291,72.4510,82.5729,59.7987,67.3901,82.5729,97.7557,62.3291,72.4510,92.6948,112.9385,64.8596,77.5119,102.8166,128.1213,67.3901,82.5729,112.9385,143.3041,69.9205,87.6338,123.0604,158.4870,72.4510,92.6948,133.1823,173.6698,74.9815,97.7557,143.3041,188.8526,77.5119,102.8166,153.4260,204.0354
li_ion,$/kWdc,0.0000,26.9425,61.4531,130.4743,199.4955,53.8850,122.9062,260.9485,398.9909,80.8274,184.3592,391.4228,598.4864,107.7699,245.8123,521.8971,797.9818,134.7124,307.2654,652.3713,997.4773,161.6549,368.7185,782.8456,1196.9728,188.5974,430.1715,913.3199,1396.4682,215.5399,491.6246,1043.7941,1595.9637,242.4823,553.0777,1174.2684,1795.4591,269.4248,614.5308,1304.7427,1994.9546
  li_ion_cells,$/kWdc,0.0000,14.5762,29.1524,58.3047,87.4571,29.1524,58.3047,116.6095,174.9142,43.7286,87.4571,174.9142,262.3713,58.3047,116.6095,233.2190,349.8285,72.8809,145.7619,291.5237,437.2856,87.4571,174.9142,349.8285,524.7427,102.0333,204.0666,408.1332,612.1998,116.6095,233.2190,466.4379,699.6569,131.1857,262.3713,524.7427,787.1140,145.7619,291.5237,583.0474,874.5711
  battery_packs,$/kWdc,0.0000,3.7841,7.5681,15.1362,22.7043,7.5681,15.1362,30.2725,45.4087,11.3522,22.7043,45.4087,68.1130,15.1362,30.2725,60.5449,90.8174,18.9203,37.8406,75.6811,113.5217,22.7043,45.4087,90.8174,136.2260,26.4884,52.9768,105.9536,158.9304,30.2725,60.5449,121.0898,181.6347,34.0565,68.1130,136.2260,204.3391,37.8406,75.6811,151.3623,227.0434
  enclosure,$/kWdc,0.0000,3.0272,6.0545,12.1090,18.1635,6.0545,12.1090,24.2180,36.3269,9.0817,18.1635,36.3269,54.4904,12.1090,24.2180,48.4359,72.6539,15.1362,30.2725,60.5449,90.8174,18.1635,36.3269,72.6539,108.9808,21.1907,42.3814,84.7629,127.1443,24.2180,48.4359,96.8718,145.3078,27.2452,54.4904,108.9808,163.4712,30.2725,60.5449,121.0898,181.6347
  labor,$/kWdc,0.0000,1.5106,3.0212,6.0424,9.0636,3.0212,6.0424,12.0848,18.1271,4.5318,9.0636,18.1271,27.1907,6.0424,12.0848,24.1695,36.2543,7.5530,15.1060,30.2119,45.3179,9.0636,18.1271,36.2543,54.3814,10.5742,21.1483,42.2967,63.4450,12.0848,24.1695,48.3391,72.5086,13.5954,27.1907,54.3814,81.5721,15.1060,30.2119,60.4238,90.6357
  electricity,$/kWdc,0.0000,0.3693,0.7386,1.4773,2.2159,0.7386,1.4773,2.9546,4.4319,1.1080,2.2159,4.4319,6.6478,1.4773,2.9546,5.9092,8.8638,1.8466,3.6932,7.3865,11.0797,2.2159,4.4319,8.8638,13.2957,2.5853,5.1705,10.3411,15.5116,2.9546,5.9092,11.8184,17.7275,3.3239,6.6478,13.2957,19.9435,3.6932,7.3865,14.7730,22.1594
  depreciation,$/kWdc,0.0000,0.1165,0.2331,0.4662,0.6993,0.2331,0.4662,0.9324,1.3986,0.3496,0.6993,1.3986,2.0979,0.4662,0.9324,1.8648,2.7972,0.5827,1.1655,2.3310,3.4965,0.6993,1.3986,2.7972,4.1958,0.8158,1.6317,3.2634,4.8951,0.9324,1.8648,3.7296,5.5943,1.0489,2.0979,4.1958,6.2936,1.1655,2.3310,4.6620,6.9929
  maintenance,$/kWdc,0.0000,0.0424,0.0848,0.1695,0.2543,0.0848,0.1695,0.3391,0.5086,0.1271,0.2543,0.5086,0.7629,0.1695,0.3391,0.6781,1.0172,0.2119,0.4238,0.8476,1.2714,0.2543,0.5086,1.0172,1.5257,0.2967,0.5933,1.1867,1.7800,0.3391,0.6781,1.3562,2.0343,0.3814,0.7629,1.5257,2.2886,0.4238,0.8476,1.6953,2.5429
  profit,$/kWdc,0.0000,2.8502,13.2684,34.1049,54.9415,5.7003,26.5368,68.2099,109.8829,8.5505,39.8052,102.3148,164.8244,11.4006,53.0737,136.4198,219.7659,14.2508,66.3421,170.5247,274.7074,17.1009,79.6105,204.6297,329.6488,19.9511,92.8789,238.7346,384.5903,22.8012,106.1473,272.8396,439.5318,25.6514,119.4157,306.9445,494.4733,28.5015,132.6842,341.0494,549.4147
  shipping,$/kWdc,0.0000,1.4228,2.8456,5.6912,8.5368,2.8456,5.6912,11.3824,17.0737,4.2684,8.5368,17.0737,25.6105,5.6912,11.3824,22.7649,34.1473,7.1140,14.2281,28.4561,42.6842,8.5368,17.0737,34.1473,51.2210,9.9596,19.9193,39.8385,59.7578,11.3824,22.7649,45.5298,68.2947,12.8052,25.6105,51.2210,76.8315,14.2281,28.4561,56.9122,85.3683
bi_directional_inverter,$/kWdc,0.0000,7.5681,7.5681,7.5681,7.5681,15.1362,15.1362,15.1362,15.1362,22.7043,22.7043,22.7043,22.7043,30.2725,30.2725,30.2725,30.2725,37.8406,37.8406,37.8406,37.8406,45.4087,45.4087,45.4087,45.4087,52.9768,52.9768,52.9768,52.9768,60.5449,60.5449,60.5449,60.5449,68.1130,68.1130,68.1130,68.1130,75.6811,75.6811,75.6811,75.6811
  bi_directional_inverter,$/kWdc,0.0000,7.5681,7.5681,7.5681,7.5681,15.1362,15.1362,15.1362,15.1362,22.7043,22.7043,22.7043,22.7043,30.2725,30.2725,30.2725,30.2725,37.8406,37.8406,37.8406,37.8406,45.4087,45.4087,45.4087,45.4087,52.9768,52.9768,52.9768,52.9768,60.5449,60.5449,60.5449,60.5449,68.1130,68.1130,68.1130,68.1130,75.6811,75.6811,75.6811,75.6811
TOTAL CAPEX,$/kWdc,1096.3523,1149.4922,1202.6320,1308.9117,1415.1914,1202.6320,1308.9117,1521.4711,1734.0306,1255.7719,1415.1914,1734.0306,2052.8697,1308.9117,1521.4711,1946.5900,2371.7088,1362.0516,1627.7508,2159.1494,2690.5479,1415.1914,1734.0306,2371.7088,3009.3871,1468.3313,1840.3103,2584.2682,3328.2262,1521.4711,1946.5900,2796.8276,3647.0653,1574.6110,2052.8697,3009.3871,3965.9044,1627.7508,2159.1494,3221.9465,4284.7436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEX,$/kWdc-yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleaning,$/kWdc-yr,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214
inspection,$/kWdc-yr,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068,3.1068
new_bos,$/kWdc-yr,0.2794,0.2807,0.2819,0.2843,0.2867,0.2819,0.2843,0.2891,0.2940,0.2831,0.2867,0.2940,0.3012,0.2843,0.2891,0.2988,0.3085,0.2855,0.2916,0.3037,0.3158,0.2867,0.2940,0.3085,0.3230,0.2879,0.2964,0.3134,0.3303,0.2891,0.2988,0.3182,0.3376,0.2903,0.3012,0.3230,0.3448,0.2916,0.3037,0.3279,0.3521
new_modules,$/kWdc-yr,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360,0.3360
new_inverters,$/kWdc-yr,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846,3.3846
land_lease,$/kWdc-yr,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126,2.9126
property_tax,$/kWdc-yr,2.1927,2.2990,2.4053,2.6178,2.8304,2.4053,2.6178,3.0429,3.4681,2.5115,2.8304,3.4681,4.1057,2.6178,3.0429,3.8932,4.7434,2.7241,3.2555,4.3183,5.3811,2.8304,3.4681,4.7434,6.0188,2.9367,3.6806,5.1685,6.6565,3.0429,3.8932,5.5937,7.2941,3.1492,4.1057,6.0188,7.9318,3.2555,4.3183,6.4439,8.5695
insurance,$/kWdc-yr,2.7409,2.8737,3.0066,3.2723,3.5380,3.0066,3.2723,3.8037,4.3351,3.1394,3.5380,4.3351,5.1322,3.2723,3.8037,4.8665,5.9293,3.4051,4.0694,5.3979,6.7264,3.5380,4.3351,5.9293,7.5235,3.6708,4.6008,6.4607,8.3206,3.8037,4.8665,6.9921,9.1177,3.9365,5.1322,7.5235,9.9148,4.0694,5.3979,8.0549,10.7119
management,$/kWdc-yr,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082,0.9082
new_ess,$/kWdc-yr,0.0000,0.8628,1.7255,3.4511,5.1766,1.7255,3.4511,6.9021,10.3532,2.5883,5.1766,10.3532,15.5298,3.4511,6.9021,13.8042,20.7064,4.3138,8.6276,17.2553,25.8829,5.1766,10.3532,20.7064,31.0595,6.0394,12.0787,24.1574,36.2361,6.9021,13.8042,27.6085,41.4127,7.7649,15.5298,31.0595,46.5893,8.6276,17.2553,34.5106,51.7659
TOTAL OPEX,$/kWdc-yr,18.4826,19.5857,20.6888,22.8950,25.1012,20.6888,22.8950,27.3074,31.7199,21.7919,25.1012,31.7199,38.3385,22.8950,27.3074,36.1323,44.9571,23.9981,29.5136,40.5447,51.5758,25.1012,31.7199,44.9571,58.1944,26.2043,33.9261,49.3695,64.8130,27.3074,36.1323,53.7820,71.4316,28.4105,38.3385,58.1944,78.0503,29.5136,40.5447,62.6068,84.6689
