Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39
BESS Capacity,MW,15,15,15,15,30,30,30,30,45,45,45,45,60,60,60,60,75,75,75,75,90,90,90,90,105,105,105,105,120,120,120,120,135,135,135,135,150,150,150,150
BESS Duration,h,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12,2,4,8,12
BESS Energy,MWh,30,60,120,180,60,120,240,360,90,180,360,540,120,240,480,720,150,300,600,900,180,360,720,1080,210,420,840,1260,240,480,960,1440,270,540,1080,1620,300,600,1200,1800
CAPEX,$/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
li_ion,$/kWh,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667,178.0000,203.0000,215.5000,219.6667
  li_ion_cells,$/kWh,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000,96.3000
  battery_packs,$/kWh,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000,25.0000
  enclosure,$/kWh,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
  labor,$/kWh,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800,9.9800
  electricity,$/kWh,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400,2.4400
  depreciation,$/kWh,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700
  maintenance,$/kWh,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800
  profit,$/kWh,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967,18.8300,43.8300,56.3300,60.4967
  shipping,$/kWh,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000,9.4000
  passthrough_credit,$/kWh,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000,-5.0000
inverter,$/kWh,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333
  bi_directional_inverter,$/kWh,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333,50.0000,25.0000,12.5000,8.3333
sbos,$/kWh,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333,4.5333
  site_prep,$/kWh,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333
  concrete_pads,$/kWh,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000,3.2000
ebos,$/kWh,103.4292,51.7146,25.8573,17.2382,92.0958,46.0479,23.0240,15.3493,88.3181,44.1590,22.0795,14.7197,86.4292,43.2146,21.6073,14.4049,85.2958,42.6479,21.3240,14.2160,84.5403,42.2701,21.1351,14.0900,84.0006,42.0003,21.0001,14.0001,83.5958,41.7979,20.8990,13.9326,83.2810,41.6405,20.8203,13.8802,83.0292,41.5146,20.7573,13.8382
  transformer,$/kWh,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333,20.0000,10.0000,5.0000,3.3333
  switch_gear,$/kWh,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771,4.0625,2.0312,1.0156,0.6771
  conductors,$/kWh,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500,10.5000,5.2500,2.6250,1.7500
  breaker_dc,$/kWh,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625,9.3750,4.6875,2.3438,1.5625
  grounding,$/kWh,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917,4.7500,2.3750,1.1875,0.7917
  scada,$/kWh,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917,1.7500,0.8750,0.4375,0.2917
  substation,$/kWh,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375,20.6250,10.3125,5.1562,3.4375
  transmission,$/kWh,31.1667,15.5833,7.7917,5.1944,19.8333,9.9167,4.9583,3.3056,16.0556,8.0278,4.0139,2.6759,14.1667,7.0833,3.5417,2.3611,13.0333,6.5167,3.2583,2.1722,12.2778,6.1389,3.0694,2.0463,11.7381,5.8690,2.9345,1.9563,11.3333,5.6667,2.8333,1.8889,11.0185,5.5093,2.7546,1.8364,10.7667,5.3833,2.6917,1.7944
  network_upgrade,$/kWh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  shipping,$/kWh,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000,1.2000,0.6000,0.3000,0.2000
installation,$/kWh,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281
  installation,$/kWh,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281,2.4281
permitting,$/kWh,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
  permitting,$/kWh,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
interconnection,$/kWh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  interconnection,$/kWh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
sales_tax,$/kWh,19.4858,16.4864,14.9867,14.4867,18.8285,16.1577,14.8223,14.3772,18.6094,16.0482,14.7675,14.3407,18.4998,15.9934,14.7402,14.3224,18.4341,15.9605,14.7237,14.3115,18.3903,15.9386,14.7128,14.3042,18.3590,15.9230,14.7049,14.2989,18.3355,15.9112,14.6991,14.2950,18.3172,15.9021,14.6945,14.2920,18.3026,15.8948,14.6909,14.2895
  sales_tax,$/kWh,19.4858,16.4864,14.9867,14.4867,18.8285,16.1577,14.8223,14.3772,18.6094,16.0482,14.7675,14.3407,18.4998,15.9934,14.7402,14.3224,18.4341,15.9605,14.7237,14.3115,18.3903,15.9386,14.7128,14.3042,18.3590,15.9230,14.7049,14.2989,18.3355,15.9112,14.6991,14.2950,18.3172,15.9021,14.6945,14.2920,18.3026,15.8948,14.6909,14.2895
contingency,$/kWh,8.3991,7.1062,6.4598,6.2443,8.1157,6.9645,6.3889,6.1971,8.0213,6.9173,6.3653,6.1813,7.9741,6.8937,6.3535,6.1735,7.9457,6.8795,6.3464,6.1687,7.9268,6.8701,6.3417,6.1656,7.9133,6.8633,6.3383,6.1633,7.9032,6.8583,6.3358,6.1616,7.8954,6.8543,6.3338,6.1603,7.8891,6.8512,6.3323,6.1593
  contingency,$/kWh,8.3991,7.1062,6.4598,6.2443,8.1157,6.9645,6.3889,6.1971,8.0213,6.9173,6.3653,6.1813,7.9741,6.8937,6.3535,6.1735,7.9457,6.8795,6.3464,6.1687,7.9268,6.8701,6.3417,6.1656,7.9133,6.8633,6.3383,6.1633,7.9032,6.8583,6.3358,6.1616,7.8954,6.8543,6.3338,6.1603,7.8891,6.8512,6.3323,6.1593
epc_overhead,$/kWh,6.5190,6.0018,5.7432,5.6570,6.4056,5.9451,5.7149,5.6382,6.3678,5.9263,5.7055,5.6319,6.3490,5.9168,5.7007,5.6287,6.3376,5.9111,5.6979,5.6268,6.3301,5.9074,5.6960,5.6256,6.3247,5.9047,5.6947,5.6247,6.3206,5.9026,5.6937,5.6240,6.3175,5.9011,5.6929,5.6235,6.3150,5.8998,5.6922,5.6230
  warehousing,$/kWh,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293,0.0293
  logistics,$/kWh,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400,0.9400
  engineering,$/kWh,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633,0.1633
  outreach,$/kWh,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600,0.3600
  management,$/kWh,5.0263,4.5091,4.2506,4.1644,4.9130,4.4525,4.2222,4.1455,4.8752,4.4336,4.2128,4.1392,4.8563,4.4241,4.2081,4.1360,4.8450,4.4185,4.2052,4.1342,4.8374,4.4147,4.2034,4.1329,4.8320,4.4120,4.2020,4.1320,4.8280,4.4100,4.2010,4.1313,4.8248,4.4084,4.2002,4.1308,4.8223,4.4071,4.1996,4.1304
developer_profit,$/kWh,16.7981,14.2124,12.9195,12.4886,16.2315,13.9291,12.7779,12.3941,16.0426,13.8346,12.7306,12.3627,15.9481,13.7874,12.7070,12.3469,15.8915,13.7591,12.6929,12.3375,15.8537,13.7402,12.6834,12.3312,15.8267,13.7267,12.6767,12.3267,15.8065,13.7166,12.6716,12.3233,15.7907,13.7087,12.6677,12.3207,15.7781,13.7024,12.6645,12.3186
  profit,$/kWh,16.7981,14.2124,12.9195,12.4886,16.2315,13.9291,12.7779,12.3941,16.0426,13.8346,12.7306,12.3627,15.9481,13.7874,12.7070,12.3469,15.8915,13.7591,12.6929,12.3375,15.8537,13.7402,12.6834,12.3312,15.8267,13.7267,12.6767,12.3267,15.8065,13.7166,12.6716,12.3233,15.7907,13.7087,12.6677,12.3207,15.7781,13.7024,12.6645,12.3186
TOTAL CAPEX,$/kWh,389.9259,330.8161,301.2612,291.4096,376.9719,324.3391,298.0227,289.2506,372.6539,322.1801,296.9432,288.5309,370.4949,321.1006,296.4035,288.1711,369.1995,320.4529,296.0796,287.9552,368.3359,320.0211,295.8637,287.8113,367.7190,319.7127,295.7095,287.7084,367.2564,319.4814,295.5938,287.6313,366.8965,319.3014,295.5039,287.5714,366.6087,319.1575,295.4319,287.5234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEX,$/kWh-yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_bos,$/kWh-yr,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
new_inverters,$/kWh-yr,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500,4.5000,2.2500,1.1250,0.7500
new_ess,$/kWh-yr,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917,4.4500,5.0750,5.3875,5.4917
land_lease,$/kWh-yr,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240
property_tax,$/kWh-yr,0.7799,0.6616,0.6025,0.5828,0.7539,0.6487,0.5960,0.5785,0.7453,0.6444,0.5939,0.5771,0.7410,0.6422,0.5928,0.5763,0.7384,0.6409,0.5922,0.5759,0.7367,0.6400,0.5917,0.5756,0.7354,0.6394,0.5914,0.5754,0.7345,0.6390,0.5912,0.5753,0.7338,0.6386,0.5910,0.5751,0.7332,0.6383,0.5909,0.5750
insurance,$/kWh-yr,0.9748,0.8270,0.7532,0.7285,0.9424,0.8108,0.7451,0.7231,0.9316,0.8055,0.7424,0.7213,0.9262,0.8028,0.7410,0.7204,0.9230,0.8011,0.7402,0.7199,0.9208,0.8001,0.7397,0.7195,0.9193,0.7993,0.7393,0.7193,0.9181,0.7987,0.7390,0.7191,0.9172,0.7983,0.7388,0.7189,0.9165,0.7979,0.7386,0.7188
management,$/kWh-yr,6.0000,3.0000,1.5000,1.0000,3.0000,1.5000,0.7500,0.5000,2.0000,1.0000,0.5000,0.3333,1.5000,0.7500,0.3750,0.2500,1.2000,0.6000,0.3000,0.2000,1.0000,0.5000,0.2500,0.1667,0.8571,0.4286,0.2143,0.1429,0.7500,0.3750,0.1875,0.1250,0.6667,0.3333,0.1667,0.1111,0.6000,0.3000,0.1500,0.1000
TOTAL OPEX,$/kWh-yr,16.7377,11.8467,9.4012,8.5861,13.6794,10.3176,8.6367,8.0764,12.6600,9.8079,8.3818,7.9065,12.1503,9.5530,8.2544,7.8215,11.8445,9.4001,8.1779,7.7705,11.6406,9.2982,8.1270,7.7366,11.4949,9.2253,8.0905,7.7123,11.3857,9.1707,8.0632,7.6941,11.3008,9.1283,8.0420,7.6799,11.2328,9.0943,8.0250,7.6686
